ticket_id,opened_at,priority,category,subcategory,location,requester_role,assigned_tier,escalated,first_response_at,resolved_at,status,kb_article,reopened,resolution
INC100073,2026-01-31 15:54,P3,Label Printer,Labels blank or faded,Emergency Dept,Provider,1,0,2026-01-31 19:14,2026-02-01 05:41,Resolved,,1,Replaced ribbon and label stock
INC100074,2026-01-31 17:37,P1,Downtime,Unplanned LIS downtime,Outpatient Draw,Nurse,3,1,2026-01-31 17:46,2026-01-31 19:24,Resolved,,0,Vendor restored service; downtime results backloaded
INC100075,2026-02-01 05:06,P3,LIS Access,Password expired,Microbiology,Bench tech,1,0,2026-02-01 06:58,2026-02-02 00:52,Resolved,KB-002,0,Reset password and verified login
INC100076,2026-02-02 01:59,P4,Downtime,Planned downtime question,Core Lab,Nurse,1,0,2026-02-02 04:21,2026-02-03 03:14,Resolved,KB-008,0,Sent downtime schedule and procedure
INC100077,2026-02-02 07:09,P3,LIS Access,Account locked out,Outpatient Draw,Provider,1,0,2026-02-02 16:12,2026-02-02 12:18,Resolved,,0,Unlocked account and verified login
INC100078,2026-02-02 09:26,P3,Worklist,Pending list missing specimens,Outpatient Draw,Nurse,2,0,2026-02-02 10:27,2026-02-02 19:17,Resolved,KB-006,0,Corrected worklist filter build
INC100079,2026-02-02 23:09,P2,QC Lockout,QC failure blocking results,Core Lab,Bench tech,2,0,2026-02-02 23:26,2026-02-03 04:29,Resolved,,0,"Reviewed QC, recalibrated, released hold"
INC100080,2026-02-02 23:58,P2,Analyzer Interface,Results not crossing to LIS,Core Lab,Bench tech,3,1,2026-02-03 00:07,2026-02-03 21:40,Resolved,KB-003,0,Restarted interface connection and resent results
INC100081,2026-02-03 03:26,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Provider,2,0,2026-02-03 03:48,2026-02-03 04:39,Resolved,,0,Re-established instrument connection
INC100082,2026-02-03 04:09,P3,Label Printer,Wrong default printer,Core Lab,Lab supervisor,1,0,2026-02-03 05:07,2026-02-03 18:27,Resolved,,0,Reassigned workstation default printer
INC100083,2026-02-03 16:00,P2,QC Lockout,QC failure blocking results,Core Lab,Bench tech,2,0,2026-02-03 16:15,2026-02-03 19:20,Resolved,,0,"Reviewed QC, recalibrated, released hold"
INC100084,2026-02-04 08:20,P3,LIS Access,Password expired,ICU,Bench tech,1,0,2026-02-04 09:46,2026-02-04 23:35,Resolved,KB-002,0,Reset password and verified login
INC100085,2026-02-04 08:52,P3,Label Printer,Wrong default printer,Outpatient Draw,Bench tech,1,0,2026-02-04 12:19,2026-02-04 22:08,Resolved,KB-001,0,Reassigned workstation default printer
INC100086,2026-02-04 13:14,P3,Worklist,Worklist not refreshing,Emergency Dept,Bench tech,1,0,2026-02-04 15:21,2026-02-05 08:10,Resolved,,0,Refreshed session and cleared cache
INC100087,2026-02-04 17:23,P3,Label Printer,Printer not printing,Emergency Dept,Lab supervisor,1,0,2026-02-04 22:38,2026-02-05 04:32,Resolved,KB-001,0,Cleared jam and restarted printer
INC100088,2026-02-04 19:51,P3,Order / Accession,Order not found for specimen,Microbiology,Provider,1,0,2026-02-05 04:22,2026-02-05 05:01,Resolved,,0,Located order and relinked specimen
INC100089,2026-02-05 02:44,P3,Label Printer,Wrong default printer,Core Lab,Bench tech,1,0,2026-02-05 04:42,2026-02-05 13:16,Resolved,KB-001,0,Reassigned workstation default printer
INC100090,2026-02-05 12:41,P3,Label Printer,Wrong default printer,Outpatient Draw,Nurse,1,0,2026-02-05 15:47,2026-02-06 08:31,Resolved,KB-001,0,Reassigned workstation default printer
INC100091,2026-02-05 13:10,P3,Label Printer,Wrong default printer,ICU,Phlebotomist,1,0,2026-02-05 14:48,2026-02-06 01:03,Resolved,KB-001,0,Reassigned workstation default printer
INC100092,2026-02-06 09:07,P3,Label Printer,Printer not printing,Core Lab,Provider,1,0,2026-02-06 10:58,2026-02-07 00:32,Resolved,,0,Cleared jam and restarted printer
INC100093,2026-02-07 02:38,P3,LIS Access,Password expired,Emergency Dept,Nurse,1,0,2026-02-07 04:18,2026-02-07 16:25,Resolved,KB-002,0,Reset password and verified login
INC100094,2026-02-08 07:20,P2,Analyzer Interface,Interface queue backed up,Core Lab,Bench tech,2,0,2026-02-08 07:42,2026-02-08 08:51,Resolved,,0,Cleared stuck message and released queue
INC100095,2026-02-08 13:16,P3,Label Printer,Labels blank or faded,Outpatient Draw,Lab supervisor,1,0,2026-02-08 15:27,2026-02-10 10:03,Resolved,KB-001,0,Replaced ribbon and label stock
INC100096,2026-02-08 14:48,P3,Label Printer,Wrong default printer,Outpatient Draw,Provider,1,0,2026-02-08 16:50,2026-02-08 23:04,Resolved,KB-001,0,Reassigned workstation default printer
INC100097,2026-02-08 18:04,P3,Label Printer,Printer not printing,Core Lab,Nurse,1,0,2026-02-08 21:10,2026-02-09 13:08,Resolved,KB-001,0,Cleared jam and restarted printer
INC100098,2026-02-08 18:16,P3,LIS Access,Password expired,Emergency Dept,Nurse,1,0,2026-02-08 20:00,2026-02-08 23:48,Resolved,KB-002,0,Reset password and verified login
INC100099,2026-02-09 07:16,P3,LIS Access,Account locked out,Blood Bank,Lab supervisor,1,0,2026-02-09 09:22,2026-02-10 00:21,Resolved,,0,Unlocked account and verified login
INC100100,2026-02-09 08:08,P3,Order / Accession,Order not found for specimen,Outpatient Draw,Bench tech,1,0,2026-02-09 11:25,2026-02-09 13:11,Resolved,KB-004,0,Located order and relinked specimen
INC100101,2026-02-09 09:36,P2,Analyzer Interface,Instrument offline in LIS,Microbiology,Provider,2,0,2026-02-09 09:50,2026-02-10 01:15,Resolved,KB-003,0,Re-established instrument connection
INC100102,2026-02-09 11:09,P3,Worklist,Pending list missing specimens,Core Lab,Lab supervisor,2,0,2026-02-09 12:38,2026-02-09 19:42,Resolved,KB-006,0,Corrected worklist filter build
INC100103,2026-02-09 19:08,P2,QC Lockout,QC failure blocking results,Microbiology,Phlebotomist,2,0,2026-02-09 19:28,2026-02-10 00:58,Resolved,KB-007,0,"Reviewed QC, recalibrated, released hold"
INC100104,2026-02-09 19:09,P2,QC Lockout,QC failure blocking results,Blood Bank,Lab supervisor,3,1,2026-02-09 19:18,2026-02-10 02:12,Resolved,,0,"Reviewed QC, recalibrated, released hold"
INC100105,2026-02-10 09:41,P2,Analyzer Interface,Results not crossing to LIS,Core Lab,Bench tech,3,1,2026-02-10 09:51,2026-02-11 02:14,Resolved,KB-003,0,Restarted interface connection and resent results
INC100106,2026-02-10 17:14,P3,Worklist,Pending list missing specimens,ICU,Nurse,2,0,2026-02-10 18:33,2026-02-11 01:02,Resolved,KB-006,0,Corrected worklist filter build
INC100107,2026-02-11 07:50,P3,Worklist,Worklist not refreshing,Microbiology,Bench tech,1,0,2026-02-11 09:30,2026-02-12 10:21,Resolved,KB-006,1,Refreshed session and cleared cache
INC100108,2026-02-12 11:53,P3,Label Printer,Wrong default printer,Core Lab,Nurse,1,0,2026-02-12 14:53,2026-02-13 01:40,Resolved,KB-001,0,Reassigned workstation default printer
INC100109,2026-02-12 15:54,P1,Downtime,Unplanned LIS downtime,Core Lab,Bench tech,3,1,2026-02-12 16:18,2026-02-12 20:08,Resolved,KB-008,0,Vendor restored service; downtime results backloaded
INC100110,2026-02-12 18:37,P3,Label Printer,Wrong default printer,Outpatient Draw,Provider,1,0,2026-02-12 20:40,2026-02-13 06:21,Resolved,,0,Reassigned workstation default printer
INC100111,2026-02-13 08:15,P3,Label Printer,Labels blank or faded,Outpatient Draw,Bench tech,1,0,2026-02-13 15:22,2026-02-14 01:28,Resolved,,1,Replaced ribbon and label stock
INC100112,2026-02-13 22:50,P3,Label Printer,Printer not printing,Emergency Dept,Phlebotomist,1,0,2026-02-14 02:17,2026-02-14 18:58,Resolved,KB-001,0,Cleared jam and restarted printer
INC100113,2026-02-14 16:55,P2,Analyzer Interface,Interface queue backed up,Core Lab,Provider,3,1,2026-02-14 17:08,2026-02-15 08:43,Resolved,KB-003,0,Cleared stuck message and released queue
INC100114,2026-02-14 21:25,P3,Label Printer,Labels blank or faded,Outpatient Draw,Nurse,1,0,2026-02-14 22:58,2026-02-15 02:16,Resolved,,0,Replaced ribbon and label stock
INC100115,2026-02-16 00:42,P2,Result Correction,Result filed to wrong test,Emergency Dept,Nurse,2,0,2026-02-16 00:59,2026-02-17 14:56,Resolved,,1,Issued corrected report and notified provider
INC100116,2026-02-16 07:23,P3,LIS Access,Account locked out,Core Lab,Bench tech,1,0,2026-02-16 13:30,2026-02-16 17:01,Resolved,KB-002,0,Unlocked account and verified login
INC100117,2026-02-16 08:07,P3,LIS Access,Account locked out,Outpatient Draw,Bench tech,1,0,2026-02-16 11:05,2026-02-16 20:20,Resolved,KB-002,0,Unlocked account and verified login
INC100118,2026-02-16 08:52,P3,LIS Access,Account locked out,Core Lab,Lab supervisor,1,0,2026-02-16 09:49,2026-02-16 21:10,Resolved,KB-002,0,Unlocked account and verified login
INC100119,2026-02-17 17:24,P3,Label Printer,Labels blank or faded,Emergency Dept,Provider,1,0,2026-02-17 18:25,2026-02-17 21:19,Resolved,,0,Replaced ribbon and label stock
INC100120,2026-02-17 18:36,P3,Order / Accession,Order cancelled after collection,Core Lab,Bench tech,2,0,2026-02-18 04:18,2026-02-18 11:09,Resolved,KB-004,0,Reinstated order and notified provider
INC100121,2026-02-18 11:20,P3,Worklist,Pending list missing specimens,Outpatient Draw,Bench tech,2,0,2026-02-18 13:03,2026-02-19 02:35,Resolved,,0,Corrected worklist filter build
INC100122,2026-02-18 11:47,P3,LIS Access,Password expired,ICU,Nurse,1,0,2026-02-18 13:51,2026-02-18 20:32,Resolved,,0,Reset password and verified login
INC100123,2026-02-18 16:35,P3,Order / Accession,Duplicate order,ICU,Nurse,1,0,2026-02-18 19:46,2026-02-19 08:08,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100124,2026-02-20 05:54,P2,QC Lockout,New QC lot not built,Core Lab,Provider,2,0,2026-02-20 06:11,2026-02-20 09:18,Resolved,KB-007,0,Built QC lot and ranges in LIS
INC100125,2026-02-20 08:15,P2,Analyzer Interface,Results not crossing to LIS,Microbiology,Provider,3,1,2026-02-20 08:25,2026-02-21 05:13,Resolved,KB-003,0,Restarted interface connection and resent results
INC100126,2026-02-20 13:11,P2,Result Correction,Corrected report needed,Emergency Dept,Bench tech,3,1,2026-02-20 13:46,2026-02-20 18:27,Resolved,,0,Issued corrected report and notified provider
INC100127,2026-02-21 11:35,P4,LIS Access,Missing security role,Emergency Dept,Lab supervisor,2,0,2026-02-21 17:48,2026-02-23 12:46,Resolved,,0,Added security role after manager approval
INC100128,2026-02-21 12:47,P2,Result Correction,Corrected report needed,Core Lab,Lab supervisor,3,1,2026-02-21 13:25,2026-02-22 02:15,Resolved,KB-005,0,Issued corrected report and notified provider
INC100129,2026-02-21 14:31,P3,Order / Accession,Duplicate order,Microbiology,Lab supervisor,1,0,2026-02-21 16:00,2026-02-21 18:13,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100130,2026-02-21 15:41,P3,Label Printer,Labels blank or faded,Core Lab,Lab supervisor,1,0,2026-02-21 18:45,2026-02-21 19:38,Resolved,,0,Replaced ribbon and label stock
INC100131,2026-02-21 21:24,P2,Analyzer Interface,Interface queue backed up,Core Lab,Nurse,3,1,2026-02-21 21:31,2026-02-22 11:24,Resolved,KB-003,0,Cleared stuck message and released queue
INC100132,2026-02-22 13:36,P2,Analyzer Interface,Results not crossing to LIS,Core Lab,Nurse,3,1,2026-02-22 14:43,2026-02-23 10:51,Resolved,,0,Restarted interface connection and resent results
INC100133,2026-02-22 14:15,P3,Label Printer,Wrong default printer,Emergency Dept,Lab supervisor,1,0,2026-02-22 16:20,2026-02-22 22:07,Resolved,KB-001,0,Reassigned workstation default printer
INC100134,2026-02-22 15:21,P3,Label Printer,Wrong default printer,Outpatient Draw,Lab supervisor,1,0,2026-02-22 23:30,2026-02-23 23:35,Resolved,,0,Reassigned workstation default printer
INC100135,2026-02-22 15:38,P3,Label Printer,Labels blank or faded,Core Lab,Bench tech,1,0,2026-02-22 18:33,2026-02-23 07:24,Resolved,KB-001,0,Replaced ribbon and label stock
INC100136,2026-02-23 06:06,P3,LIS Access,Account locked out,Microbiology,Lab supervisor,1,0,2026-02-23 08:10,2026-02-23 20:57,Resolved,,0,Unlocked account and verified login
INC100137,2026-02-23 07:21,P3,LIS Access,Account locked out,Blood Bank,Lab supervisor,1,0,2026-02-23 08:10,2026-02-23 21:55,Resolved,KB-002,0,Unlocked account and verified login
INC100138,2026-02-23 19:26,P3,Label Printer,Labels blank or faded,Blood Bank,Phlebotomist,1,0,2026-02-23 22:50,2026-02-24 11:08,Resolved,KB-001,0,Replaced ribbon and label stock
INC100139,2026-02-24 09:17,P3,Label Printer,Labels blank or faded,Blood Bank,Bench tech,1,0,2026-02-24 14:43,2026-02-24 21:34,Resolved,KB-001,0,Replaced ribbon and label stock
INC100140,2026-02-24 17:11,P3,Worklist,Worklist not refreshing,Outpatient Draw,Nurse,1,0,2026-02-24 18:00,2026-02-25 06:19,Resolved,,0,Refreshed session and cleared cache
INC100141,2026-02-25 04:47,P3,Label Printer,Wrong default printer,ICU,Bench tech,1,0,2026-02-25 12:09,2026-02-25 14:42,Resolved,KB-001,0,Reassigned workstation default printer
INC100142,2026-02-25 09:55,P3,Label Printer,Printer not printing,Core Lab,Nurse,1,0,2026-02-25 12:08,2026-02-26 22:13,Resolved,KB-001,1,Cleared jam and restarted printer
INC100143,2026-02-26 03:55,P3,Label Printer,Labels blank or faded,Blood Bank,Phlebotomist,1,0,2026-02-26 11:24,2026-02-26 17:19,Resolved,KB-001,0,Replaced ribbon and label stock
